Date,Weekly Sentiment,Weekly Stock Price
2024-07-14,0.01442325581395349,107.07000122070312
2024-07-21,0.5106,106.95999755859376
2024-07-28,0.4252647777688151,105.42000122070313
2024-08-04,0.3399295555376302,101.51800079345703
2024-08-11,0.2545943333064452,93.89600219726563
2024-08-18,0.1692591110752602,93.80000152587891
2024-08-25,0.08392388884407526,96.47200012207031
2024-09-01,-0.001411333387109748,96.44400024414062
2024-09-08,-0.08674655561829474,95.08799896240234
2024-09-15,0.09229100696643447,90.39199981689453
2024-09-22,0.1236166666666667,92.13600006103516
2024-09-29,0.1040262472222222,94.4560012817383
2024-10-06,0.08443582777777778,93.33200073242188
2024-10-13,0.06484540833333333,93.10000152587891
2024-10-20,0.04525498888888889,91.5520004272461
2024-10-27,0.02566456944444444,91.7
2024-11-03,0.006074149999999999,89.61999969482422
2024-11-10,0.136875,86.11600036621094
2024-11-17,0.4404,83.52400054931641
2024-11-24,-0.23774,82.34400177001953
2024-12-01,0.186805,80.72000122070312
2024-12-08,0.6113500000000001,81.54400024414062
2024-12-15,-0.6476,85.92799682617188
2024-12-22,0.09078421052631579,87.33200073242188
2024-12-29,0.7506,87.85000228881836
2025-01-05,0.4918,87.61333465576172
2025-01-12,0.233,89.72799987792969
2025-01-19,-0.0258,92.49599914550781
